Data,votos_a_favor_gov,id
2/7/2003,1.0,PEC 306/2000
2/7/2003,1.0,PEC 306/2000
2/12/2003,0.9971098265895953,PEC 575/1998
19/3/2003,0.7305122494432071,PL 2681/1996
30/7/2003,0.9962825278810409,PL 3464/2000
25/6/2003,0.8197530864197531,PL 3731/1997
15/10/2003,0.7357357357357357,PL 4376/1993
19/8/2003,0.7911764705882353,PL 4572/1998
19/8/2003,0.7911764705882353,PL 4572/1998
3/12/2003,1.0,PLP 52/1999
3/12/2003,0.996996996996997,PLP 224/2001
25/2/2003,0.9916434540389972,MSC 48/2002
19/11/2003,0.5938461538461538,PEC 544/2002
30/7/2003,1.0,PL 7136/2002
12/3/2003,0.7135549872122762,MPV 79/2002
12/3/2003,0.7135549872122762,MPV 79/2002
12/6/2003,0.9965397923875432,PL 58/2003
26/3/2003,0.7060367454068242,MPV 82/2002
26/3/2003,0.7060367454068242,MPV 82/2002
1/4/2003,0.97,MPV 86/2002
22/4/2003,0.5518072289156627,MPV 94/2002
15/4/2003,0.518324607329843,MPV 103/2003
23/4/2003,0.8179551122194514,MPV 104/2003
8/4/2003,0.7380352644836272,MPV 106/2003
29/4/2003,0.6243654822335025,MPV 107/2003
29/4/2003,0.6243654822335025,MPV 107/2003
29/4/2003,0.6243654822335025,MPV 107/2003
29/4/2003,0.6243654822335025,MPV 107/2003
29/4/2003,0.6243654822335025,MPV 107/2003
29/4/2003,0.6243654822335025,MPV 107/2003
29/4/2003,0.6243654822335025,MPV 107/2003
19/11/2003,0.9049079754601227,PL 475/2003
20/5/2003,0.9951338199513382,MPV 114/2003
22/5/2003,0.8169642857142857,MPV 116/2003
22/5/2003,0.8169642857142857,MPV 116/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
27/8/2003,0.7877906976744186,PEC 40/2003
